,Daerah,UHH (tahun),HLS (tahun),RLS (tahun),Pengeluaran (ribu rupiah),IPM
233,Kabupaten Malang,75.14,13.48,7.75,10791,73.0
234,Kabupaten Lumajang,74.41,12.16,7.14,9720,69.37
235,Kabupaten Jember,74.02,13.49,6.52,10277,70.42
236,Kabupaten Banyuwangi,73.93,13.12,7.76,12820,73.79
237,Kabupaten Bondowoso,73.19,13.32,6.36,11255,70.56
238,Kabupaten Situbondo,73.22,13.19,6.9,10702,70.65
239,Kabupaten Probolinggo,73.8,12.63,6.29,11756,70.36
240,Kabupaten Pasuruan,74.41,12.77,7.44,11239,71.91
241,Kabupaten Sidoarjo,75.36,14.97,10.78,15311,81.88
242,Kabupaten Mojokerto,74.74,12.97,9.11,13467,76.23
243,Kabupaten Jombang,74.43,13.59,8.77,11999,75.16
244,Kabupaten Nganjuk,74.43,13.17,8.24,12821,74.7
245,Kabupaten Madiun,74.59,13.23,7.95,12259,74.02
246,Kabupaten Magetan,75.19,14.07,8.67,12495,76.3
247,Kabupaten Ngawi,75.01,12.85,7.78,11897,73.28
248,Kabupaten Bojonegoro,74.72,12.92,7.45,10776,71.8
249,Kabupaten Tuban,74.77,12.27,7.4,11174,71.4
250,Kabupaten Lamongan,74.86,14.02,8.34,12019,75.29
251,Kabupaten Gresik,74.24,13.97,10.01,13870,78.44
252,Kabupaten Bangkalan,73.29,11.97,5.99,9438,66.82
253,Kabupaten Sampang,73.49,12.54,5.07,9363,66.19
254,Kabupaten Pamekasan,73.51,13.68,7.15,9420,70.32
255,Kabupaten Sumenep,73.69,13.58,5.94,9807,69.13
256,Kota Kediri,75.74,15.45,10.69,13276,80.97
257,Kota Blitar,74.97,14.57,10.78,14548,80.78
258,Kota Malang,75.32,15.77,10.94,17222,84.0
259,Kota Probolinggo,74.1,13.73,9.56,12999,76.93
260,Kota Pasuruan,74.64,13.66,9.78,14250,78.3
261,Kota Mojokerto,75.8,14.04,11.05,14422,80.9
262,Kota Madiun,75.4,14.44,11.82,17115,83.71
263,Kota Surabaya,75.82,14.85,10.7,18977,83.99
264,Kota Batu,75.14,14.56,9.85,13603,79.07
265,Pandeglang,74.01,13.73,7.15,9151,70.28
266,Lebak,73.8,12.1,6.6,913,67.68
267,Tangerang,75.18,12.87,8.93,12749,75.56
268,Serang,74.62,12.86,7.79,1132,72.63
269,Kota Tangerang,75.3,13.89,10.91,15377,80.98
270,Kota Cilegon,74.81,13.21,10.38,13663,78.24
271,Kota Serang,75.13,12.82,8.91,14088,76.43
272,Kota Tangerang Selatan,75.64,14.68,11.85,16225,83.57
273,Jembrana,74.84,13.02,8.65,12236,74.8
274,Tabanan,75.41,13.04,9.35,14832,77.87
275,Badung,75.73,14.22,10.9,17915,83.0
276,Gianyar,75.45,14.09,9.8,15047,79.69
277,Klungkung,74.61,13.12,8.48,1176,74.18
278,Bangli,73.98,12.52,7.57,1167,71.99
279,Karangasem,73.93,12.63,6.68,10753,70.09
280,Buleleng,74.65,13.27,7.57,13987,74.87
281,Kota Denpasar,75.59,14.11,11.52,20,84.68
282,Lombok Barat,72.37,13.98,6.87,12,72.18
283,Lombok Tengah,71.39,13.87,6.61,11,70.41
284,Lombok Timur,71.72,14.06,7.12,10152,70.65
285,Sumbawa,72.41,13.24,8.52,9981,71.68
286,Dompu,71.54,13.83,8.97,9404,71.77
287,Bima,71.65,13.65,8.29,8963,70.33
288,Sumbawa Barat,72.65,13.66,8.98,12214,74.84
289,Lombok Utara,71.26,13.01,6.39,9785,68.02
290,Kota Mataram,74.65,15.67,9.56,15894,81.15
291,Kota Bima,72.97,15.06,10.95,1174,78.24
292,Sumba Barat,71.16,13.26,6.92,7993,66.82
293,Sumba Timur,71.31,12.86,7.57,10008,69.63
294,Kupang,69.24,13.89,7.42,822,67.51
295,Timor Tengah Selatan,71.02,12.61,6.97,7,65.39
296,Timor Tengah Utara,70.75,13.35,8.16,6889,66.56
297,Belu,73.97,12.31,7.39,7907,67.5
298,Alor,70.55,12.28,8.45,7565,66.82
299,Lembata,73.0,12.46,8.26,7962,68.41
300,Flores Timur,73.57,12.95,8.04,8223,69.24
301,Sikka,73.97,13.66,6.98,8678,69.41
302,Ende,72.74,13.82,8.2,9739,71.77
303,Ngada,74.12,12.74,8.82,935,71.61
304,Manggarai,72.2,13.71,7.63,7903,68.48
305,Rote Ndao,69.55,13.22,7.82,7061,65.79
306,Manggarai Barat,72.59,12.53,7.94,7913,67.84
307,Sumba Tengah,69.21,13.13,7.0,6484,63.63
308,Sumba Barat Daya,68.99,13.1,6.38,708,63.74
309,Nagekeo,72.24,12.59,8.14,8706,69.03
310,Manggarai Timur,72.79,12.59,7.7,6276,65.05
311,Sabu Raijua,66.46,13.18,6.98,5899,61.37
312,Malaka,71.28,12.82,7.13,6569,64.5
